category;governorate;hour;dayOfWeek;month;maxParticipants;success_level
SPORT;Tunis;18;2;4;48;HIGH
CINEMA;Kebili;17;5;12;26;HIGH
OTHER;Sidi Bouzid;9;0;2;37;LOW
CINEMA;Mahdia;21;0;9;40;MEDIUM
OTHER;Sidi Bouzid;12;3;10;45;LOW
SPORT;Zaghouan;18;3;6;55;MEDIUM
CINEMA;Bizerte;19;0;2;63;MEDIUM
SPORT;Kairouan;19;2;10;53;HIGH
SPORT;Kebili;16;4;2;68;MEDIUM
SPORT;Sfax;10;6;11;99;HIGH
KARAOKE;Gabes;19;5;2;12;HIGH
CINEMA;Kef;17;6;4;27;HIGH
CEREMONY;Jendouba;14;5;6;71;HIGH
KARAOKE;Kairouan;19;5;5;54;HIGH
SPORT;Medenine;18;1;9;113;MEDIUM
CINEMA;Zaghouan;20;3;5;43;MEDIUM
KARAOKE;Ariana;19;6;1;30;HIGH
CEREMONY;Jendouba;9;1;10;110;LOW
CINEMA;Tataouine;20;3;11;73;MEDIUM
CINEMA;Jendouba;18;1;12;48;MEDIUM
OTHER;Sidi Bouzid;18;3;6;38;MEDIUM
CINEMA;Mahdia;20;0;1;29;MEDIUM
CINEMA;Tataouine;18;6;11;69;MEDIUM
OTHER;Ben Arous;15;3;10;69;MEDIUM
OTHER;Jendouba;17;6;1;97;MEDIUM
SPORT;Gafsa;17;6;5;118;MEDIUM
KARAOKE;Manouba;20;3;3;39;MEDIUM
SPORT;Kebili;18;2;9;117;MEDIUM
CINEMA;Mahdia;17;6;11;53;HIGH
OTHER;Medenine;12;1;6;30;MEDIUM
OTHER;Mahdia;9;4;6;72;LOW
SPORT;Manouba;10;6;5;50;MEDIUM
SPORT;Beja;17;0;2;113;MEDIUM
CEREMONY;Ben Arous;17;4;3;62;HIGH
CEREMONY;Sfax;10;2;9;185;LOW
CEREMONY;Bizerte;15;6;12;81;MEDIUM
KARAOKE;Kasserine;20;3;9;38;MEDIUM
SPORT;Beja;9;0;6;22;MEDIUM
OTHER;Sfax;12;4;4;10;MEDIUM
SPORT;Tozeur;18;0;4;28;MEDIUM
SPORT;Siliana;8;4;4;55;LOW
CEREMONY;Bizerte;15;1;12;176;LOW
OTHER;Monastir;12;6;8;62;MEDIUM
CINEMA;Manouba;17;5;7;60;HIGH
CEREMONY;Sidi Bouzid;14;6;12;43;MEDIUM
SPORT;Ariana;16;5;6;33;HIGH
CINEMA;Bizerte;18;4;8;32;HIGH
CEREMONY;Zaghouan;11;3;4;49;LOW
CEREMONY;Sfax;9;0;11;168;LOW
SPORT;Ben Arous;19;6;4;41;HIGH
CEREMONY;Monastir;14;1;7;45;HIGH
CINEMA;Kasserine;17;3;5;73;MEDIUM
KARAOKE;Sidi Bouzid;22;5;12;41;MEDIUM
CINEMA;Bizerte;19;1;1;22;MEDIUM
KARAOKE;Ariana;18;4;8;42;HIGH
OTHER;Zaghouan;9;4;2;33;LOW
SPORT;Medenine;8;5;4;71;MEDIUM
SPORT;Gabes;9;4;10;25;MEDIUM
OTHER;Ben Arous;15;5;10;82;MEDIUM
OTHER;Siliana;13;1;11;50;LOW
CINEMA;Jendouba;20;1;11;53;MEDIUM
CEREMONY;Siliana;17;0;1;147;MEDIUM
OTHER;Gabes;10;0;9;37;LOW
OTHER;Jendouba;11;2;2;41;LOW
KARAOKE;Kef;19;3;9;55;MEDIUM
KARAOKE;Medenine;22;0;11;45;LOW
KARAOKE;Gafsa;18;1;5;17;MEDIUM
SPORT;Kebili;17;1;5;56;MEDIUM
OTHER;Bizerte;20;2;4;97;LOW
KARAOKE;Mahdia;21;2;1;15;MEDIUM
CEREMONY;Jendouba;9;0;6;63;MEDIUM
KARAOKE;Zaghouan;21;4;12;37;MEDIUM
OTHER;Tunis;10;0;12;29;MEDIUM
OTHER;Ariana;14;4;9;28;MEDIUM
CEREMONY;Nabeul;9;2;6;40;HIGH
KARAOKE;Bizerte;19;5;2;32;HIGH
OTHER;Sidi Bouzid;18;5;3;40;MEDIUM
CINEMA;Zaghouan;20;0;3;57;MEDIUM
CEREMONY;Gafsa;17;5;4;98;MEDIUM
CINEMA;Tozeur;17;3;1;75;MEDIUM
CINEMA;Bizerte;20;2;5;44;MEDIUM
CINEMA;Tunis;18;3;6;50;HIGH
SPORT;Jendouba;10;5;9;71;MEDIUM
OTHER;Siliana;9;0;5;32;LOW
OTHER;Jendouba;9;0;10;65;LOW
KARAOKE;Kebili;20;3;10;42;MEDIUM
SPORT;Kasserine;17;1;5;25;MEDIUM
CEREMONY;Tunis;15;6;9;80;HIGH
KARAOKE;Sidi Bouzid;18;5;6;49;HIGH
KARAOKE;Gafsa;18;5;5;42;MEDIUM
KARAOKE;Gafsa;21;2;7;54;MEDIUM
KARAOKE;Sfax;19;1;7;52;HIGH
CEREMONY;Gafsa;16;1;10;175;LOW
KARAOKE;Kasserine;22;6;1;29;MEDIUM
KARAOKE;Bizerte;21;6;10;48;HIGH
KARAOKE;Sousse;21;3;11;23;HIGH
OTHER;Monastir;21;6;12;31;HIGH
SPORT;Kef;17;5;11;99;HIGH
KARAOKE;Ben Arous;19;5;5;24;HIGH
CINEMA;Nabeul;17;0;4;75;MEDIUM
OTHER;Ben Arous;16;3;11;83;LOW
CINEMA;Tozeur;20;3;7;46;MEDIUM
CINEMA;Tataouine;17;6;2;69;MEDIUM
CINEMA;Zaghouan;21;3;1;46;MEDIUM
SPORT;Sousse;9;6;8;105;HIGH
OTHER;Sfax;18;2;8;88;MEDIUM
OTHER;Sidi Bouzid;17;3;3;70;LOW
CEREMONY;Jendouba;17;1;11;100;MEDIUM
OTHER;Monastir;19;1;5;66;MEDIUM
SPORT;Tozeur;10;1;5;62;LOW
KARAOKE;Sfax;18;1;3;24;HIGH
CEREMONY;Tozeur;10;5;4;46;MEDIUM
CEREMONY;Sidi Bouzid;11;4;8;136;LOW
SPORT;Bizerte;19;3;7;118;MEDIUM
OTHER;Tozeur;9;6;10;58;LOW
CEREMONY;Tunis;11;2;7;137;MEDIUM
OTHER;Kebili;20;4;10;38;MEDIUM
CEREMONY;Beja;11;3;8;37;MEDIUM
CEREMONY;Siliana;16;5;7;72;HIGH
CEREMONY;Nabeul;15;4;1;130;MEDIUM
OTHER;Gabes;19;0;2;92;LOW
CEREMONY;Nabeul;17;3;3;42;HIGH
KARAOKE;Kasserine;20;1;8;30;MEDIUM
KARAOKE;Kasserine;20;6;7;26;HIGH
SPORT;Monastir;8;5;9;26;HIGH
KARAOKE;Beja;18;6;11;12;HIGH
SPORT;Beja;9;6;1;99;MEDIUM
CINEMA;Beja;18;3;11;29;MEDIUM
OTHER;Bizerte;16;5;5;57;MEDIUM
CINEMA;Medenine;21;5;12;29;HIGH
CINEMA;Kef;17;4;1;54;MEDIUM
OTHER;Gafsa;15;3;12;35;LOW
SPORT;Gabes;18;6;11;51;HIGH
SPORT;Tozeur;19;2;11;96;MEDIUM
SPORT;Gabes;19;0;6;88;MEDIUM
CEREMONY;Gafsa;11;0;9;195;LOW
KARAOKE;Tunis;21;6;8;16;HIGH
CEREMONY;Kairouan;16;6;8;69;HIGH
CEREMONY;Zaghouan;16;4;11;99;LOW
OTHER;Sfax;21;3;8;65;MEDIUM
OTHER;Jendouba;14;6;4;21;MEDIUM
KARAOKE;Sousse;19;6;8;46;HIGH
OTHER;Gafsa;15;2;1;73;LOW
KARAOKE;Zaghouan;21;1;6;26;MEDIUM
KARAOKE;Jendouba;22;5;5;45;MEDIUM
SPORT;Mahdia;9;0;4;112;LOW
CEREMONY;Monastir;15;6;4;151;MEDIUM
CEREMONY;Sousse;17;0;2;105;MEDIUM
CINEMA;Kasserine;18;2;11;62;MEDIUM
CEREMONY;Sfax;15;2;7;170;MEDIUM
KARAOKE;Kairouan;21;2;5;26;MEDIUM
CINEMA;Manouba;18;2;2;38;MEDIUM
CINEMA;Bizerte;20;2;12;51;MEDIUM
SPORT;Bizerte;10;1;6;42;MEDIUM
KARAOKE;Tunis;22;1;5;12;MEDIUM
SPORT;Sfax;10;5;3;101;MEDIUM
CEREMONY;Manouba;17;0;10;102;MEDIUM
CEREMONY;Monastir;14;2;3;43;MEDIUM
KARAOKE;Monastir;18;6;2;35;HIGH
CEREMONY;Ben Arous;15;5;11;43;HIGH
CINEMA;Nabeul;21;2;2;46;MEDIUM
SPORT;Sfax;19;3;10;96;HIGH
OTHER;Beja;21;4;7;67;MEDIUM
CEREMONY;Kef;17;4;7;108;MEDIUM
OTHER;Medenine;9;4;12;22;LOW
CINEMA;Tataouine;18;2;11;25;MEDIUM
CINEMA;Beja;18;4;2;35;MEDIUM
SPORT;Sidi Bouzid;16;5;10;80;HIGH
KARAOKE;Ariana;19;2;12;28;HIGH
CEREMONY;Ben Arous;16;1;5;190;MEDIUM
OTHER;Gafsa;21;1;7;24;MEDIUM
OTHER;Beja;19;1;5;28;MEDIUM
SPORT;Ariana;9;6;5;96;MEDIUM
OTHER;Kef;16;0;8;98;LOW
KARAOKE;Tozeur;21;2;9;44;MEDIUM
CEREMONY;Sousse;9;4;1;140;MEDIUM
KARAOKE;Medenine;20;0;2;24;MEDIUM
OTHER;Gabes;9;6;11;44;MEDIUM
OTHER;Ariana;21;6;3;70;HIGH
OTHER;Tataouine;16;2;3;84;LOW
CEREMONY;Tataouine;17;3;2;150;LOW
KARAOKE;Sidi Bouzid;20;2;11;16;MEDIUM
CINEMA;Siliana;20;5;8;51;HIGH
CEREMONY;Sfax;9;3;2;110;MEDIUM
KARAOKE;Siliana;18;6;7;42;HIGH
SPORT;Gafsa;19;4;8;72;MEDIUM
SPORT;Bizerte;17;2;10;116;MEDIUM
CEREMONY;Tataouine;14;6;1;82;MEDIUM
KARAOKE;Sfax;19;2;8;54;HIGH
CEREMONY;Manouba;9;5;10;91;MEDIUM
CINEMA;Kef;21;0;9;67;MEDIUM
SPORT;Beja;19;0;8;35;HIGH
CINEMA;Monastir;19;4;12;49;MEDIUM
CEREMONY;Monastir;14;1;8;171;MEDIUM
CINEMA;Kasserine;18;4;9;32;MEDIUM
SPORT;Jendouba;19;6;7;63;HIGH
OTHER;Jendouba;9;2;12;48;LOW
OTHER;Gabes;19;3;3;67;MEDIUM
OTHER;Monastir;14;2;9;79;MEDIUM
CEREMONY;Sousse;11;6;4;91;MEDIUM
OTHER;Kasserine;12;6;7;15;MEDIUM
KARAOKE;Kebili;21;5;7;34;HIGH
CINEMA;Monastir;17;1;9;57;MEDIUM
SPORT;Sousse;8;4;8;21;HIGH
CINEMA;Sidi Bouzid;18;0;8;48;MEDIUM
KARAOKE;Medenine;21;5;2;31;HIGH
OTHER;Kasserine;14;5;12;72;MEDIUM
OTHER;Ariana;18;0;4;90;MEDIUM
KARAOKE;Beja;18;3;2;58;MEDIUM
SPORT;Sousse;9;5;5;23;HIGH
SPORT;Siliana;19;0;5;65;MEDIUM
KARAOKE;Sidi Bouzid;19;1;9;36;MEDIUM
OTHER;Gafsa;21;1;3;32;MEDIUM
SPORT;Medenine;19;3;10;107;MEDIUM
CINEMA;Monastir;21;1;4;74;MEDIUM
KARAOKE;Sousse;20;5;1;39;HIGH
KARAOKE;Gafsa;22;1;2;38;LOW
KARAOKE;Gabes;20;5;7;54;HIGH
KARAOKE;Sousse;20;1;7;40;HIGH
SPORT;Beja;16;4;6;93;MEDIUM
KARAOKE;Tozeur;20;0;11;35;MEDIUM
KARAOKE;Tunis;22;6;11;59;MEDIUM
SPORT;Medenine;18;3;5;119;MEDIUM
CINEMA;Medenine;19;1;11;39;MEDIUM
OTHER;Jendouba;19;6;12;94;MEDIUM
CINEMA;Tataouine;17;5;11;20;HIGH
KARAOKE;Sousse;18;4;6;56;HIGH
CINEMA;Ben Arous;19;2;12;68;MEDIUM
CINEMA;Bizerte;18;6;9;61;HIGH
OTHER;Mahdia;13;6;3;42;MEDIUM
CEREMONY;Kef;16;6;6;59;HIGH
CEREMONY;Ben Arous;10;6;4;131;MEDIUM
OTHER;Kairouan;10;6;7;11;MEDIUM
KARAOKE;Sfax;18;3;6;53;HIGH
KARAOKE;Gabes;21;6;11;33;HIGH
SPORT;Gafsa;9;3;1;99;LOW
OTHER;Siliana;18;1;11;18;MEDIUM
CEREMONY;Tozeur;11;5;7;59;MEDIUM
CINEMA;Ariana;17;2;8;29;HIGH
SPORT;Beja;17;1;7;78;MEDIUM
KARAOKE;Gafsa;22;3;10;57;LOW
CINEMA;Sidi Bouzid;17;6;8;67;HIGH
KARAOKE;Ariana;20;1;8;38;HIGH
CINEMA;Kairouan;17;5;6;60;HIGH
SPORT;Kasserine;10;1;2;78;LOW
SPORT;Gafsa;9;5;11;96;MEDIUM
SPORT;Ariana;19;2;4;36;HIGH
OTHER;Bizerte;10;6;9;36;MEDIUM
OTHER;Bizerte;12;2;3;86;LOW
SPORT;Jendouba;19;1;3;89;MEDIUM
KARAOKE;Zaghouan;18;5;1;18;HIGH
SPORT;Kairouan;19;6;4;95;HIGH
KARAOKE;Tunis;19;2;1;18;HIGH
CEREMONY;Mahdia;9;5;2;151;MEDIUM
CEREMONY;Kairouan;15;4;2;145;MEDIUM
OTHER;Beja;18;0;12;94;LOW
